id,name,source_csv,gene name,log2FoldChange,source_xlxs
ZDB-GENE-980526-167,en2a,brain_development ,en2a,0.263550383503825,1dpl
ZDB-GENE-980526-255,fgfr1a,brain_development ,fgfr1a,0.0208250325001346,1dpl
ZDB-GENE-030323-1,fgfr2,brain_development ,fgfr2,0.156828064422901,1dpl
ZDB-GENE-000426-1,fn1a,brain_development ,fn1a,0.555113976274463,1dpl
ZDB-GENE-020419-32,hdac1,brain_development ,hdac1,0.150826299128676,1dpl
ZDB-GENE-990714-26,lef1,brain_development ,lef1,0.079139123413886,1dpl
ZDB-GENE-980526-347,lhx1a,brain_development ,lhx1a,-0.254756968208126,1dpl
ZDB-GENE-051220-1,lhx2b,brain_development ,lhx2b,-0.190507318590248,1dpl
ZDB-GENE-980526-515,mafba,brain_development ,mafba,-0.140238700027727,1dpl
ZDB-GENE-030404-2,mib1,brain_development ,mib1,0.000858648552048832,1dpl
ZDB-GENE-990415-183,notch1b,brain_development ,notch1b,0.000742064607221858,1dpl
ZDB-GENE-000329-5,notch3,brain_development ,notch3,-0.349745139744151,1dpl
ZDB-GENE-001031-1,pax6b,brain_development ,pax6b,0.046541600074875,1dpl
ZDB-GENE-990714-27,pitx2,brain_development ,pitx2,-0.14453252942691,1dpl
ZDB-GENE-980526-485,pou5f3,brain_development ,pou5f3,0.240757775113685,1dpl
ZDB-GENE-001019-1,robo2,brain_development ,robo2,0.160506446193655,1dpl
ZDB-GENE-980526-41,shhb,brain_development ,shhb,0.772999592765941,1dpl
ZDB-GENE-980526-89,smo,brain_development ,smo,-0.15757195451143,1dpl
ZDB-GENE-030219-1,spaw,brain_development ,spaw,-0.118187528040097,1dpl
ZDB-GENE-011212-6,tfap2a,brain_development ,tfap2a,0.0204208495911401,1dpl
ZDB-GENE-020507-3,vangl2,brain_development ,vangl2,0.122276671583559,1dpl
ZDB-GENE-001106-1,wnt3a,brain_development ,wnt3a,0.0641624998346225,1dpl
ZDB-GENE-031116-61,ackr3b,brain_development ,ackr3b,-0.345127342274282,1dpl
ZDB-GENE-980526-227,acvr2aa,brain_development ,acvr2aa,-0.31956541134505,1dpl
ZDB-GENE-030131-1768,alcamb,brain_development ,alcamb,0.0164566628533474,1dpl
ZDB-GENE-030131-8369,aldoaa,brain_development ,aldoaa,0.107982397762472,1dpl
ZDB-GENE-010817-1,angpt1,brain_development ,angpt1,0.318987050858724,1dpl
ZDB-GENE-000201-9,anos1a,brain_development ,anos1a,-0.119196792738909,1dpl
ZDB-GENE-021217-3,arl13b,brain_development ,arl13b,-0.0252052692361693,1dpl
ZDB-GENE-001207-3,arnt2,brain_development ,arnt2,-0.184753433547494,1dpl
ZDB-GENE-990415-15,arxa,brain_development ,arxa,-0.496397372911908,1dpl
ZDB-GENE-000403-1,axin1,brain_development ,axin1,-0.100771431312903,1dpl
ZDB-GENE-000412-1,bdnf,brain_development ,bdnf,-0.667857929860735,1dpl
ZDB-GENE-030131-224,bmi1a,brain_development ,bmi1a,0.0770937164486406,1dpl
ZDB-GENE-041111-243,cep290,brain_development ,cep290,-0.0175530896465604,1dpl
ZDB-GENE-990630-12,cntn2,brain_development ,cntn2,-0.124167696687616,1dpl
ZDB-GENE-020320-4,crabp2a,brain_development ,crabp2a,0.816891908648987,1dpl
ZDB-GENE-060612-1,crb2a,brain_development ,crb2a,0.584695529494828,1dpl
ZDB-GENE-040426-750,creb1a,brain_development ,creb1a,0.092333857385358,1dpl
ZDB-GENE-030721-1,cxcl12b,brain_development ,cxcl12b,-0.437757401695552,1dpl
ZDB-GENE-030131-2908,cyp26b1,brain_development ,cyp26b1,-0.344434607491122,1dpl
ZDB-GENE-030131-3445,dicer1,brain_development ,dicer1,0.180775905884631,1dpl
ZDB-GENE-090122-1,disc1,brain_development ,disc1,0.247987551304618,1dpl
ZDB-GENE-980526-114,dlb,brain_development ,dlb,-0.403688612931544,1dpl
ZDB-GENE-020117-1,dmbx1a,brain_development ,dmbx1a,0.199604591754432,1dpl
ZDB-GENE-041118-20,dvl2,brain_development ,dvl2,0.076286116839457,1dpl
ZDB-GENE-040526-1,dzip1,brain_development ,dzip1,0.20555283019098,1dpl
ZDB-GENE-031007-7,emx1,brain_development ,emx1,-0.309848157580359,1dpl
ZDB-GENE-990415-54,emx2,brain_development ,emx2,-0.135550286589128,1dpl
ZDB-GENE-980526-40,en2b,brain_development ,en2b,-0.397190015282237,1dpl
ZDB-GENE-030616-450,epb41l5,brain_development ,epb41l5,0.0256264609869592,1dpl
ZDB-GENE-001207-7,epha4a,brain_development ,epha4a,0.031705557281795,1dpl
ZDB-GENE-991228-4,etv5b,brain_development ,etv5b,0.0566302285673205,1dpl
ZDB-GENE-990712-18,eya1,brain_development ,eya1,-0.0597776418204324,1dpl
ZDB-GENE-001103-3,fezf2,brain_development ,fezf2,-0.149086276723204,1dpl
ZDB-GENE-020731-6,fmr1,brain_development ,fmr1,0.0963474557078358,1dpl
ZDB-GENE-990616-47,foxb1a,brain_development ,foxb1a,-0.318215219796461,1dpl
ZDB-GENE-000616-15,foxh1,brain_development ,foxh1,0.0839292674512033,1dpl
ZDB-GENE-990415-225,fzd3a,brain_development ,fzd3a,0.0943594457893965,1dpl
ZDB-GENE-000328-3,fzd8a,brain_development ,fzd8a,0.00817949511286164,1dpl
ZDB-GENE-020117-2,gbx1,brain_development ,gbx1,-1.02482105034644,1dpl
ZDB-GENE-010226-1,gdnfa,brain_development ,gdnfa,-0.292110660239074,1dpl
ZDB-GENE-990706-8,gli2a,brain_development ,gli2a,0.144620700153248,1dpl
ZDB-GENE-050523-1,gli2b,brain_development ,gli2b,-0.175015065280046,1dpl
ZDB-GENE-050419-45,gmds,brain_development ,gmds,-0.250618678266558,1dpl
ZDB-GENE-040824-5,her12,brain_development ,her12,-0.180788265457151,1dpl
ZDB-GENE-030707-2,her15.1,brain_development ,her15.1,-0.387441261067281,1dpl
ZDB-GENE-000607-70,hey1,brain_development ,hey1,-0.0485186141505487,1dpl
ZDB-GENE-041014-2,hgfa,brain_development ,hgfa,0.201543627339824,1dpl
ZDB-GENE-030131-2935,igf2b,brain_development ,igf2b,0.0432159618786745,1dpl
ZDB-GENE-010716-1,irx1b,brain_development ,irx1b,-0.188178118930235,1dpl
ZDB-GENE-030131-7859,jun,brain_development ,jun,0.104020726152501,1dpl
ZDB-GENE-060118-1,lama1,brain_development ,lama1,0.346417213162245,1dpl
ZDB-GENE-021226-1,lamb1a,brain_development ,lamb1a,0.329228581704245,1dpl
ZDB-GENE-021226-3,lamc1,brain_development ,lamc1,-0.0393052965039646,1dpl
ZDB-GENE-980526-484,lhx5,brain_development ,lhx5,-1.0125799749685,1dpl
ZDB-GENE-050417-210,lhx9,brain_development ,lhx9,0.0539308849555156,1dpl
ZDB-GENE-050114-2,lmx1bb,brain_development ,lmx1bb,-0.382880419486606,1dpl
ZDB-GENE-040121-1,mapk3,brain_development ,mapk3,-0.195904631415282,1dpl
ZDB-GENE-060125-1,med12,brain_development ,med12,0.377590053128442,1dpl
ZDB-GENE-020122-1,meis1b,brain_development ,meis1b,-0.0516407955815222,1dpl
ZDB-GENE-000210-23,meis2b,brain_development ,meis2b,-0.431725382711141,1dpl
ZDB-GENE-041014-1,met,brain_development ,met,0.242354670573284,1dpl
ZDB-GENE-030603-1,mgaa,brain_development ,mgaa,0.010563087067156,1dpl
ZDB-GENE-030616-162,myh10,brain_development ,myh10,-0.255090088410779,1dpl
ZDB-GENE-071119-2,nes,brain_development ,nes,0.968282316972728,1dpl
ZDB-GENE-010404-1,nkx2.1,brain_development ,nkx2.1,-0.788050805624629,1dpl
ZDB-GENE-000830-1,nkx2.4b,brain_development ,nkx2.4b,0.0461325039616431,1dpl
ZDB-GENE-010504-1,nr5a1a,brain_development ,nr5a1a,0.80716238544661,1dpl
ZDB-GENE-050302-113,nrg1,brain_development ,nrg1,-0.354239602377002,1dpl
ZDB-GENE-030519-2,nrp1a,brain_development ,nrp1a,0.137349725685913,1dpl
ZDB-GENE-040611-3,nrp2b,brain_development ,nrp2b,0.00170208062715554,1dpl
ZDB-GENE-990415-169,ntn1a,brain_development ,ntn1a,0.0932956158531862,1dpl
ZDB-GENE-990415-168,ntn1b,brain_development ,ntn1b,0.0284368480480387,1dpl
ZDB-GENE-030131-4013,olig2,brain_development ,olig2,-1.04923140545524,1dpl
ZDB-GENE-070216-1,otpa,brain_development ,otpa,0.0960259963417366,1dpl
ZDB-GENE-990708-7,otpb,brain_development ,otpb,-0.1915957572889,1dpl
ZDB-GENE-040116-3,pafah1b1b,brain_development ,pafah1b1b,-0.248913428835718,1dpl
ZDB-GENE-030925-47,pard3ab,brain_development ,pard3ab,0.144586935786549,1dpl
ZDB-GENE-000405-1,pbx1a,brain_development ,pbx1a,-0.115212331652832,1dpl
ZDB-GENE-000201-18,pbx4,brain_development ,pbx4,-0.0754735282973889,1dpl
ZDB-GENE-000223-14,phox2a,brain_development ,phox2a,-0.46260875709205,1dpl
ZDB-GENE-041229-4,pitx3,brain_development ,pitx3,-0.447582883659759,1dpl
ZDB-GENE-020122-5,pknox1.1,brain_development ,pknox1.1,0.16362633446735,1dpl
ZDB-GENE-980526-372,pou3f1,brain_development ,pou3f1,-0.384810323942186,1dpl
ZDB-GENE-980526-140,pou3f3b,brain_development ,pou3f3b,-0.146399883486672,1dpl
ZDB-GENE-040401-1,pou4f2,brain_development ,pou4f2,-0.143908077822343,1dpl
ZDB-GENE-041011-3,ppp1r12a,brain_development ,ppp1r12a,0.185916916106955,1dpl
ZDB-GENE-030724-5,prickle1a,brain_development ,prickle1a,0.222116652237256,1dpl
ZDB-GENE-030131-2152,prickle1b,brain_development ,prickle1b,-0.100979702796825,1dpl
ZDB-GENE-011105-1,prkci,brain_development ,prkci,-0.0424414083011612,1dpl
ZDB-GENE-991119-4,psen1,brain_development ,psen1,-0.132741005144813,1dpl
ZDB-GENE-030616-579,ptf1a,brain_development ,ptf1a,0.188864152089777,1dpl
ZDB-GENE-020114-1,ptk2ab,brain_development ,ptk2ab,-0.0457557207886662,1dpl
ZDB-GENE-980526-284,raraa,brain_development ,raraa,0.0970734254518709,1dpl
ZDB-GENE-980526-72,rarab,brain_development ,rarab,-0.188396128925144,1dpl
ZDB-GENE-040927-11,rbfox1,brain_development ,rbfox1,0.163647334869132,1dpl
ZDB-GENE-030131-5418,rfng,brain_development ,rfng,-0.105241981988476,1dpl
ZDB-GENE-990715-2,sema3d,brain_development ,sema3d,0.448879169692904,1dpl
ZDB-GENE-040426-2452,sfpq,brain_development ,sfpq,-0.0611311892535023,1dpl
ZDB-GENE-011108-2,sfrp5,brain_development ,sfrp5,-0.297584411869881,1dpl
ZDB-GENE-020829-1,sim1a,brain_development ,sim1a,-0.043708838688947,1dpl
ZDB-GENE-990415-127,six3a,brain_development ,six3a,-0.157754738935298,1dpl
ZDB-GENE-990415-128,six3b,brain_development ,six3b,-0.454349906957395,1dpl
ZDB-GENE-980526-395,sox11a,brain_development ,sox11a,0.463091863493314,1dpl
ZDB-GENE-980526-466,sox11b,brain_development ,sox11b,-0.157810879140286,1dpl
ZDB-GENE-030131-2981,sp5l,brain_development ,sp5l,-0.000239917649086391,1dpl
ZDB-GENE-010803-2,spry4,brain_development ,spry4,-0.771012166715231,1dpl
ZDB-GENE-980605-30,tcf7l1a,brain_development ,tcf7l1a,0.0966778942962696,1dpl
ZDB-GENE-991110-10,tcf7l1b,brain_development ,tcf7l1b,-0.11254809494743,1dpl
ZDB-GENE-991110-8,tcf7l2,brain_development ,tcf7l2,0.0719586205279619,1dpl
ZDB-GENE-030131-475,tgif1,brain_development ,tgif1,-0.136498207261698,1dpl
ZDB-GENE-990415-263,thraa,brain_development ,thraa,-0.157693844872196,1dpl
ZDB-GENE-040426-2161,wls,brain_development ,wls,-0.01123905641923,1dpl
ZDB-GENE-081003-1,wnt3,brain_development ,wnt3,-0.157817606494327,1dpl
ZDB-GENE-980526-524,wnt10b,brain_development ,wnt10b,-0.855861205568334,1dpl
ZDB-GENE-030131-9710,yap1,brain_development ,yap1,-0.413262543112942,1dpl
ZDB-GENE-000208-4,zic1,brain_development ,zic1,0.291954848447292,1dpl
ZDB-GENE-000710-4,zic2a,brain_development ,zic2a,0.0378149051702631,1dpl
ZDB-GENE-100812-6,aatkb,brain_development ,aatkb,-0.146208769949917,1dpl
ZDB-GENE-020809-4,adcyap1a,brain_development ,adcyap1a,-0.392529401527541,1dpl
ZDB-GENE-041010-89,adcyap1b,brain_development ,adcyap1b,-0.487421020934279,1dpl
ZDB-GENE-110127-1,adcyap1r1b,brain_development ,adcyap1r1b,-0.20710737922385,1dpl
ZDB-GENE-000607-49,adgrl2a,brain_development ,adgrl2a,0.0904965745924715,1dpl
ZDB-GENE-081104-267,agtpbp1,brain_development ,agtpbp1,0.14174454840464,1dpl
ZDB-GENE-060503-114,amigo1,brain_development ,amigo1,-0.242215781884282,1dpl
ZDB-GENE-050208-449,amigo3,brain_development ,amigo3,0.116228883779448,1dpl
ZDB-GENE-110126-1,ap1m1,brain_development ,ap1m1,0.151788869714141,1dpl
ZDB-GENE-040801-159,ap1m3,brain_development ,ap1m3,1.03790031145726,1dpl
ZDB-GENE-091204-62,asphd1,brain_development ,asphd1,0.522049635494546,1dpl
ZDB-GENE-001212-7,atp1a3a,brain_development ,atp1a3a,-0.40471305706881,1dpl
ZDB-GENE-001212-8,atp1a3b,brain_development ,atp1a3b,-0.942693436465573,1dpl
ZDB-GENE-061215-126,atp13a2,brain_development ,atp13a2,-0.140700437086663,1dpl
ZDB-GENE-030616-571,auts2a,brain_development ,auts2a,-0.0169592024829966,1dpl
ZDB-GENE-030131-8470,b3gnt5a,brain_development ,b3gnt5a,0.312241083160864,1dpl
ZDB-GENE-060307-2,bag6l,brain_development ,bag6l,-0.0324677023157699,1dpl
ZDB-GENE-060421-4643,bcl11aa,brain_development ,bcl11aa,-0.242054350119837,1dpl
ZDB-GENE-091204-439,bicdl1,brain_development ,bicdl1,-0.204733381083235,1dpl
ZDB-GENE-040116-4,bmi1b,brain_development ,bmi1b,-0.000223963077420365,1dpl
ZDB-GENE-990415-248,brd2a,brain_development ,brd2a,-0.0502286648862845,1dpl
ZDB-GENE-030131-6248,brf1b,brain_development ,brf1b,-0.300453917826653,1dpl
ZDB-GENE-040628-4,bsx,brain_development ,bsx,-0.628152240533343,1dpl
ZDB-GENE-040704-39,btbd9,brain_development ,btbd9,-0.283959986946812,1dpl
ZDB-GENE-050417-26,ca8,brain_development ,ca8,0.0767107687824246,1dpl
ZDB-GENE-030131-8308,calm1a,brain_development ,calm1a,-0.381082817434966,1dpl
ZDB-GENE-040426-1263,capn1a,brain_development ,capn1a,0.300796627164428,1dpl
ZDB-GENE-030131-5564,cars2,brain_development ,cars2,0.193369975560047,1dpl
ZDB-GENE-081107-51,ccsapb,brain_development ,ccsapb,0.410361262206345,1dpl
ZDB-GENE-040426-2536,cdipt,brain_development ,cdipt,-0.423957279821517,1dpl
ZDB-GENE-080723-17,cdk5r1a,brain_development ,cdk5r1a,-0.279229321337342,1dpl
ZDB-GENE-040718-220,cdk5r1b,brain_development ,cdk5r1b,-0.0751175217590813,1dpl
ZDB-GENE-050417-22,cdk5r2a,brain_development ,cdk5r2a,-0.605114177856331,1dpl
ZDB-GENE-040801-251,cdk5r2b,brain_development ,cdk5r2b,-0.115646425809144,1dpl
ZDB-GENE-081022-110,cdkl5,brain_development ,cdkl5,-0.24017863527943,1dpl
ZDB-GENE-070122-2,celsr2,brain_development ,celsr2,-0.207064575968631,1dpl
ZDB-GENE-041111-205,cenpf,brain_development ,cenpf,1.36997969861203,1dpl
ZDB-GENE-050522-222,cep55l,brain_development ,cep55l,-0.000236270350509272,1dpl
ZDB-GENE-030826-21,cetn4,brain_development ,cetn4,0.0949674393187601,1dpl
ZDB-GENE-030131-6320,chd8,brain_development ,chd8,-0.0247950496775323,1dpl
ZDB-GENE-090313-201,chl1a,brain_development ,chl1a,0.14441468664876,1dpl
ZDB-GENE-040426-1474,chmp1a,brain_development ,chmp1a,0.218287440483211,1dpl
ZDB-GENE-030131-5306,clp1,brain_development ,clp1,-0.107145029085565,1dpl
ZDB-GENE-060526-126,cmklr1,brain_development ,cmklr1,0.060220745414762,1dpl
ZDB-GENE-050208-36,cnnm2a,brain_development ,cnnm2a,0.0141944571387848,1dpl
ZDB-GENE-090311-26,cnnm2b,brain_development ,cnnm2b,-0.475977661835193,1dpl
ZDB-GENE-060315-3,cnpy1,brain_development ,cnpy1,0.503850805754288,1dpl
ZDB-GENE-060929-776,cntn4,brain_development ,cntn4,-0.18134722372436,1dpl
ZDB-GENE-050417-289,cops6,brain_development ,cops6,-0.931946152425516,1dpl
ZDB-GENE-050208-52,crabp2b,brain_development ,crabp2b,1.20459076115232,1dpl
ZDB-GENE-030131-1515,csrnp1b,brain_development ,csrnp1b,-0.701474238587805,1dpl
ZDB-GENE-060815-3,ctnna2,brain_development ,ctnna2,0.0674465201223072,1dpl
ZDB-GENE-030911-6,daam1a,brain_development ,daam1a,-0.0564319525782185,1dpl
ZDB-GENE-011101-2,dcc,brain_development ,dcc,0.0276870577834717,1dpl
ZDB-GENE-040426-2656,ddc,brain_development ,ddc,-0.114264479683624,1dpl
ZDB-GENE-030131-667,ddx46,brain_development ,ddx46,-0.282128510490575,1dpl
ZDB-GENE-030721-2,dixdc1a,brain_development ,dixdc1a,-0.0951749852561552,1dpl
ZDB-GENE-050417-97,dmbx1b,brain_development ,dmbx1b,-0.161662612064287,1dpl
ZDB-GENE-041116-2,dmrta2,brain_development ,dmrta2,-0.265626613939278,1dpl
ZDB-GENE-031105-1,dpysl2b,brain_development ,dpysl2b,-0.251311627648693,1dpl
ZDB-GENE-050720-2,dpysl3,brain_development ,dpysl3,0.245636054318962,1dpl
ZDB-GENE-050302-29,dyrk1aa,brain_development ,dyrk1aa,-0.152770810125709,1dpl
ZDB-GENE-010618-3,efnb3b,brain_development ,efnb3b,-0.285466172406587,1dpl
ZDB-GENE-040808-19,eif3ha,brain_development ,eif3ha,0.0715918827212996,1dpl
ZDB-GENE-051030-42,eif3hb,brain_development ,eif3hb,-0.593245638739497,1dpl
ZDB-GENE-040426-2752,exoc7,brain_development ,exoc7,-0.063557550881525,1dpl
ZDB-GENE-030131-1736,exosc8,brain_development ,exosc8,-0.0442062612092479,1dpl
ZDB-GENE-040128-2,fgfrl1a,brain_development ,fgfrl1a,-0.0435333612503989,1dpl
ZDB-GENE-030131-5431,fxr1,brain_development ,fxr1,0.203423451136989,1dpl
ZDB-GENE-030131-5174,gabarapa,brain_development ,gabarapa,0.26743740976373,1dpl
ZDB-GENE-030131-2560,gas2l3,brain_development ,gas2l3,0.0392666590474218,1dpl
ZDB-GENE-040426-2279,gdpd3a,brain_development ,gdpd3a,-0.271637491586441,1dpl
ZDB-GENE-060526-267,git2a,brain_development ,git2a,0.138380238976165,1dpl
ZDB-GENE-070112-2192,git2b,brain_development ,git2b,-0.287493943872297,1dpl
ZDB-GENE-081030-1,golga2,brain_development ,golga2,-0.13533822930843,1dpl
ZDB-GENE-090311-1,gper1,brain_development ,gper1,0.222265404402086,1dpl
ZDB-GENE-070914-1,gpr101,brain_development ,gpr101,-0.210240390608665,1dpl
ZDB-GENE-070112-332,greb1,brain_development ,greb1,0.174754182653715,1dpl
ZDB-GENE-050913-123,grhl2a,brain_development ,grhl2a,0.783753640013811,1dpl
ZDB-GENE-030912-10,hcfc1a,brain_development ,hcfc1a,-0.142607164706917,1dpl
ZDB-GENE-080102-5,hdc,brain_development ,hdc,-0.332752967503336,1dpl
ZDB-GENE-030131-5753,hirip3,brain_development ,hirip3,0.459124381048373,1dpl
ZDB-GENE-030131-341,hmgb1a,brain_development ,hmgb1a,-0.0323201910749887,1dpl
ZDB-GENE-050506-106,ier3ip1,brain_development ,ier3ip1,-0.257544015962647,1dpl
ZDB-GENE-040426-1818,ino80e,brain_development ,ino80e,0.458469903993559,1dpl
ZDB-GENE-040426-1954,katnb1,brain_development ,katnb1,0.047079708984169,1dpl
ZDB-GENE-061226-1,kcnh1a,brain_development ,kcnh1a,0.0810632083197603,1dpl
ZDB-GENE-060117-4,kctd12.2,brain_development ,kctd12.2,-0.55756256962039,1dpl
ZDB-GENE-060825-162,kctd13,brain_development ,kctd13,-0.175783397509591,1dpl
ZDB-GENE-041010-105,kctd15a,brain_development ,kctd15a,0.115158079505229,1dpl
ZDB-GENE-040801-34,kctd15b,brain_development ,kctd15b,0.0791184323869999,1dpl
ZDB-GENE-081105-56,kdm6a,brain_development ,kdm6a,0.0291523037884556,1dpl
ZDB-GENE-070112-2002,kdm6al,brain_development ,kdm6al,0.0183821232369781,1dpl
ZDB-GENE-030131-9829,kdm7aa,brain_development ,kdm7aa,-0.907696680532885,1dpl
ZDB-GENE-050309-32,kdm7ab,brain_development ,kdm7ab,-0.11694121592138,1dpl
ZDB-GENE-030131-5759,kif14,brain_development ,kif14,1.19767629997423,1dpl
ZDB-GENE-080204-34,kif22,brain_development ,kif22,-0.0503234814149558,1dpl
ZDB-GENE-070831-1,kirrel3l,brain_development ,kirrel3l,-0.0158583862405152,1dpl
ZDB-GENE-070424-152,klf8,brain_development ,klf8,-0.192927252320607,1dpl
ZDB-GENE-060223-2,kmt2d,brain_development ,kmt2d,-0.0493678337795252,1dpl
ZDB-GENE-030131-1731,lgi1a,brain_development ,lgi1a,-0.292729421849399,1dpl
ZDB-GENE-060217-1,lgi1b,brain_development ,lgi1b,-0.382440138489716,1dpl
ZDB-GENE-111013-1,lgr4,brain_development ,lgr4,0.121655537581647,1dpl
ZDB-GENE-031008-2,lhx8a,brain_development ,lhx8a,-0.125779204459116,1dpl
ZDB-GENE-010702-1,lmo4a,brain_development ,lmo4a,-1.53615194456655,1dpl
ZDB-GENE-050114-3,lmx1ba,brain_development ,lmx1ba,0.397102753248496,1dpl
ZDB-GENE-030131-1517,map2k5,brain_development ,map2k5,0.389252219530062,1dpl
ZDB-GENE-050522-145,marcksa,brain_development ,marcksa,0.0611204757900316,1dpl
ZDB-GENE-030131-1921,marcksb,brain_development ,marcksb,0.276257614676935,1dpl
ZDB-GENE-021209-1,mcm5,brain_development ,mcm5,1.25497997821883,1dpl
ZDB-GENE-030616-360,mdga2a,brain_development ,mdga2a,-0.218186039066344,1dpl
ZDB-GENE-010131-6,mdkb,brain_development ,mdkb,-0.15206790563199,1dpl
ZDB-GENE-030131-8867,med14,brain_development ,med14,0.0734111108358613,1dpl
ZDB-GENE-020122-2,meis2a,brain_development ,meis2a,-0.0479679036018224,1dpl
ZDB-GENE-010406-2,meis3,brain_development ,meis3,0.0374438346229741,1dpl
ZDB-GENE-030131-9498,mettl3,brain_development ,mettl3,0.360385839682204,1dpl
ZDB-GENE-040426-1268,msi2b,brain_development ,msi2b,0.143859384403446,1dpl
ZDB-GENE-030826-33,mvp,brain_development ,mvp,0.458271882773025,1dpl
ZDB-GENE-030616-132,mycbp2,brain_development ,mycbp2,0.0743967580107389,1dpl
ZDB-GENE-030131-998,myh9b,brain_development ,myh9b,-0.340671671994028,1dpl
ZDB-GENE-040426-993,ncor1,brain_development ,ncor1,-0.0854481149231997,1dpl
ZDB-GENE-030131-207,ndnf,brain_development ,ndnf,-0.0477719751650213,1dpl
ZDB-GENE-060512-226,ndrg4,brain_development ,ndrg4,-0.157507257875241,1dpl
ZDB-GENE-060312-44,neflb,brain_development ,neflb,-0.543704595490915,1dpl
ZDB-GENE-080229-6,nfasca,brain_development ,nfasca,-0.164418061840044,1dpl
ZDB-GENE-070725-1,nin,brain_development ,nin,0.467984073031483,1dpl
ZDB-GENE-060526-121,nipbla,brain_development ,nipbla,-0.205964594020166,1dpl
ZDB-GENE-030131-6070,nipblb,brain_development ,nipblb,-0.267636092417135,1dpl
ZDB-GENE-030131-6336,nkx2.4a,brain_development ,nkx2.4a,-0.113703432008799,1dpl
ZDB-GENE-080320-1,nlk2,brain_development ,nlk2,-0.136524950505446,1dpl
ZDB-GENE-040109-1,nop56,brain_development ,nop56,-0.246621907032052,1dpl
ZDB-GENE-060616-396,npas4a,brain_development ,npas4a,-0.862332618265973,1dpl
ZDB-GENE-100805-4,npr1b,brain_development ,npr1b,-0.286471423621451,1dpl
ZDB-GENE-990415-184,nr4a2a,brain_development ,nr4a2a,-0.48391335531191,1dpl
ZDB-GENE-040718-103,nr4a2b,brain_development ,nr4a2b,-0.810744915060995,1dpl
ZDB-GENE-991207-19,nr6a1a,brain_development ,nr6a1a,0.736783551899357,1dpl
ZDB-GENE-040724-202,nr6a1b,brain_development ,nr6a1b,-0.726100032882564,1dpl
ZDB-GENE-041210-235,nrcama,brain_development ,nrcama,-0.147637530641819,1dpl
ZDB-GENE-030616-37,nsfa,brain_development ,nsfa,-0.422586236906414,1dpl
ZDB-GENE-061110-61,ocrl,brain_development ,ocrl,-0.717512482843856,1dpl
ZDB-GENE-070112-932,ogg1,brain_development ,ogg1,0.405347525550022,1dpl
ZDB-GENE-030131-5338,otud4,brain_development ,otud4,0.363031225269067,1dpl
ZDB-GENE-040116-2,pafah1b1a,brain_development ,pafah1b1a,-0.00894938208356617,1dpl
ZDB-GENE-060526-43,pafah1b2,brain_development ,pafah1b2,-0.0925627626660941,1dpl
ZDB-GENE-040426-1026,pafah1b3,brain_development ,pafah1b3,-0.0669822518223795,1dpl
ZDB-GENE-070424-11,pbx1b,brain_development ,pbx1b,-0.0535531474693354,1dpl
ZDB-GENE-000405-5,pbx2,brain_development ,pbx2,-0.357428370580548,1dpl
